"time{s}","Step1\output","Integrate1\output"
0,0,0
0.02,0,0
0.06,0,0
0.14,0,0
0.3,0,0
0.62,0,0
1.26,0,0
2.54,0,0
3.18,0,0
4.46,0,0
4.62,0,0
4.94,0,0
4.98,0,0
4.985,0,0
4.995,0,0
4.99625,0,0
4.99875,0,0
4.9990625,0,0
4.9996875,0,0
4.999765625,0,0
4.999921875,0,0
4.99994140625,0,0
4.99998046875,0,0
5,1,5.05996143531541e-010
5,1,5.05996143531541e-010
5.00000707138912,1,6.94103939573063e-010
5.00002121416736,1,1.18530922394464e-009
5.00004949972384,1,2.58368751537566e-009
5.00010607083681,1,8.06742318578505e-009
5.00021921306274,1,2.85327712675866e-008
5.0004454975146,1,1.08074963958142e-007
5.00089806641833,1,4.20539351789243e-007
5.00180320422578,1,1.65856150036305e-006
5.00361347984068,1,6.58001947707998e-006
5.00723403107047,1,2.6155443475846e-005
5.01447513353006,1,0.00010384336790199
5.02895733844925,1,0.000410260316880593
5.04343954336844,1,0.000914049725753477
5.05792174828762,1,0.00160965516233547
5.07240395320681,1,0.00249140939104606
5.10136836304518,1,0.00479279589449065
5.13033277288355,1,0.00777417230946887
5.15929718272192,1,0.0113904787804508
5.21722600239866,1,0.020364748852523
5.26533794184013,1,0.0293940256210555
5.3134498812816,1,0.0396718701655181
5.36156182072306,1,0.0510379833882258
5.40967376016453,1,0.0633424000126455
5.457785699606,1,0.0764447036966106
5.55400957848893,1,0.104524257749257
5.65023345737186,1,0.134334015810847
5.74645733625479,1,0.165075196048613
5.84268121513773,1,0.196069435363175
5.93890509402066,1,0.22675128015838
6.03512897290359,1,0.256658928842616
6.13135285178653,1,0.285423287571553
6.22757673066946,1,0.312759604729762
6.32380060955239,1,0.338458974492504
6.42002448843532,1,0.362377209260699
6.51624836731826,1,0.384423633238291
6.61247224620119,1,0.404553631886203
6.70869612508412,1,0.422763840319238
6.80492000396706,1,0.439085544927168
6.90114388284999,1,0.453575726576645
6.99736776173292,1,0.466310109777276
7.09359164061585,1,0.477380493940546
7.18981551949879,1,0.486892690190322
7.28603939838172,1,0.494961222957857
7.38226327726465,1,0.501703069885316
7.47848715614759,1,0.507235271685913
7.57471103503052,1,0.511675881718751
7.67093491391345,1,0.515142950742283
7.76715879279638,1,0.51774994046302
7.86338267167932,1,0.51960239170658
7.95960655056225,1,0.520799367980963
8.05583042944518,1,0.521435976733016
8.15205430832811,1,0.521601764452074
8.24827818721105,1,0.521376713959371
8.34450206609398,1,0.520830915422769
8.44072594497691,1,0.520028486873588
8.53694982385985,1,0.519029582746154
8.63317370274278,1,0.51788736940749
8.72939758162571,1,0.516644954021931
8.82562146050864,1,0.515338845457137
8.92184533939158,1,0.514002062140469
9.01806921827451,1,0.512663928893664
9.21051697604038,1,0.510069457864736
9.37613217856594,1,0.508005160126658
9.54174738109151,1,0.506151920740677
9.70736258361708,1,0.504536282273998
9.87297778614265,1,0.503165824514211
10.0385929886682,1,0.502034715798828
10.2042081911938,1,0.501127839198374
10.3698233937194,1,0.50042367592222
10.5354385962449,1,0.499897834204653
10.7010537987705,1,0.499524681020488
10.8666690012961,1,0.499278857269407
11.1978994063472,1,0.499072891189735
11.5291298113983,1,0.499111226331375
11.8603602164495,1,0.49927272476493
12.1915906215006,1,0.499476388136885
12.5228210265517,1,0.499665545316715
12.8540514316029,1,0.499807774159011
13.185281836654,1,0.499903899995876
13.5165122417051,1,0.499975106498026
13.8477426467563,1,0.500024444222141
14.1789730518074,1,0.500044139424792
14.5102034568586,1,0.500042777809792
14.8414338619097,1,0.500033647946623
15.1726642669608,1,0.500023691986962
15.503894672012,1,0.500015214108214
15.8351250770631,1,0.500008647206131
16.4975858871654,1,0.500000800750229
17.1600466972676,1,0.499998129493621
17.8225075073699,1,0.49999814659493
19.1474291275744,1,0.49999907938168
20,1,0.499999822971112
